"Si las mujeres hablan de SEXO en sus canciones son unas putas, pero si los varones hablan de SEXO en sus canciones no pasa nada y son unos capos. SE DAN CUENTA LOS MACHISTAS QUE SON? El sexo es una de las cosas ms normales, que ustedes no tengan la edad necesaria es otra cosa.",1
"Hey, you said play anything so I did ! Even if it's dumb. The blonde hero quickly stick his tongue out playfully, showing how deep down he will always behave like a child. Of course luckily not many people seem to mind that about him !",0
"Aguanta el paro HAHSHAHSHAHS yo no tiro indirectas, que te caiga el saco es distinto amor, existe el victimismo crnico, googlealo.",0
"So when people say, Sexual Harassment Training instead of, Sexual Harassment PREVENTION Training, are they whistleblowers too?",0
"and the thing that makes sexual assault is not the specific act being carried out, but rather the lack of consent to that act, WHATEVER it happens to be, kink or vanilla or fucking street harassment",0
"Esta Lagartona, le estuvo enviando fotos de ella desnuda a un jovencito de aos. Incluso, coment el joven que ella, fue a su casa a profesar su amor por l. Frecuentemente aparecen situaciones como esta y las mujeres NO opinan. Solo lo hacen cuando el acusado es un hombre...!",1
Pobre la rubia a la que le haya llamado tonta.,1
"Alberich Meffert Bormann (Ciudad de Mxico, de agosto de ) es un actor mexicano. De origen alemn, inici su carrera como actor en pequeos papeles especiales en Rebelde y Tormenta en el paraiso luego participa en la telenovela Palabra de mujer.",0
a mi a niata no me ganaaaan,1
Each has their own perks but can say as a '2 lb athletic build good look man I'd only get $5 from posting photos where as a woman u can be fat &amp; ugly &amp; still get $$$$$. That said I'd rather be a man &amp; stand peeing,1
"El anlisis de causa es por violacin, enfermedad mental, peligro de vida de la mujer, esos son algunos de los criterios para un aborto no punible. Aprobar un aborto a solicitud como se hizo en Argentina, es darle un arma a personas para que lo usen por otros motivos.",0
"Veo estas cosas y pienso que todo aqu est perdido. Porque vemos a esta gente a poyan al hijo de perra de y pienso que se han salido con la suya, que van a seguir cada da lucrandose de la tragedia de nuestra Nacin.",0
"esa sos vos, te intenta copiar gorda",1
"Me muero por leer la nota del diario de la maana, con la cobertura de fotos que saca el fotgrafo qu despus dice que las feministas les agreden en el pauelazo.Dijo,nunca nadie.",1
You nor nor what women go fit do err? Herr you don't know!!,0
cmo amo a las mujeres que hermosas que son las mujeres me encantan las mujeres son preciosas las mujeres gracias por existir mujeres soy trola por ustedes mujeres las mujeres son lo ms lindo que hay dios qu bellas las mujeres me encantan mujeres sepan que las amo,0
masculinismo te lo presento,0
Some sneezes are the auditory equivalent of manspreading and yall already know which sneezes Im talking about,0
"solicita al declarar inconstitucional el matrimonio infantil ya que es una violacin de los derechos fundamentales de nios, nias y adolescentes.",0
"El Rey, pese a sus graves errores, es veces mejor que Pablo Iglesias (incluso antes del chalet, de lo de Dina, de querer azotar a mujeres...) Comparar al Rey con Iglesias es una broma...",1
He Was Accused Of Sexual Harassment By Students Who Had Written Him Glowing Professor Reviews. His New Book Fights Back.,1
Just because Governor Smarmy and the venal legislature has given you carte blance to forcibly sodomize the ratepayers doesnt mean that you should. The Goebbels speak of calling the litigation mitigation and utility incompetence power shutoffs public safety is beyond the pale.,0
"nimo raspi mientras tu ests bien el da esta ah mismo y tienes una oportunidad de dejar de fumar, la putada es fregar a mano, fjate yo no tengo que lavavajillas",0
"Agreed. Manels like this are not representative and bake in hidden prejudices, stifling diversity and progress.So disappointing. Huge numbers of incredible female GI specialists in the UK and beyond.",1
"Claro, digamos condicin humana y obviemos/ocultemos en beneficio de qu sexo se mont todo el chiringuito de la prostitucin/pornografa en primer lugar y a da de hoy... las mujeres participantes lo son por un deseo aspiracional de pertenecer a la casta que somete, el hombre",1
"for nicer friends you all especially have made my soosososoososo much better ily all so muchand just to anyone whos ever interacted with me thankyou for being so nice to me, i have never met a community as nice as you all and lastly to the gc ily bitches so much-",0
Sumisa y reprimida. As era el papel de la mujer en la Antigua Grecia...,1
"You need to cook, clean, care for the children, have a full-time career &amp; appease your husband if you dont want him to leave you. Slavery. This is slavery.",1
La respuesta ms comn que he recibido yo? Buah! Si t eres insegura no es mi culpa. Las mujeres pueden ir libremente por donde quieran. Soy un caso aislado o algo.,1
Saying this like I will ever made this - big tits best blowjob and pron sex,1
"It's been bugging me all day....I honestly can't understand how excluding brilliant women whose achievements far exceed any piece of paper an institution deigned fit to bestow upon them (however hard they worked for that bit of paper),shows respect to other women.",1
I really want you to understand what you're doing right now. You see a video of a man terrorizing a woman and your immediate response is to take issue with the wording on a tweet to center your feelings as a man.This is not helpful or a good take. It's just tone policing.,1
"{}He goes up to the strange familiar women. After catching up to her he tries to fire his barely learned Quirk. It didn't do much damage but hopefully it caught her off guard.""Ha got you villain!..""",0
Tan indignada con los pobres y a la vez quieren que se mueran pa-te-ti-ca feminazi tena que ser,1
"As in, ""He should get off his ass and put more beers in the refrigerator before he goes to bed.""",0
puta niata,1
"MARICON es Valencia porque le pega a las mujeres!!! Si no esta preso, al menos deberian expulsarlos del futbol Chileno... fuera Valencia MARICON !!!!",0
"-Lev put his hand on your upper thighs. And rubbed circles around it. -""Don't think I didn't notice the short little skirt you're wearing. Baby if you want attention from daddy all you have to do is say so"". Lev said. -You glared into his very soul. He chuckled.",1
ESTE VIRUS FUE HECHO X UNA ARDIDA MALDITASSSS,1
"help, i'm being repressed",0
whole season which make me not enjoy the show. I used to enjoy the show before they started pushing the agenda that men r bad &amp; women r the heros the need bs. Idk maybe Im misinterpreting it but its best to express my opinion &amp; see if people have similar feeling about it.,1
This has to be fake. Even a bimbo trophy wife cant be this clueless,1
thanks girl,0
This Mike Huckabee?,0
Jin manspreading,0
"Now playing Nella Dodds / You Don't Love Me Anymore / Soul ""Boppin'"" Ladies!",0
Tanta mscara de empoderamiento para pasar encima de los dems,0
"so what feminazi want to suggest is kita kena squeeze woman in to get equality ke? bukan by merit? batshit stupid stuff here lol.tak kisah semua perempuan or semua lelaki pun, if the panels deserve that post by merit, let em be.",1
"Me refiero que con el manspreading estamos apretujadas. Las personas con coo cruzamos las piernas para masturbarnos. Al estar apretujadas cruzamos las piernas. No quiere decir que en el transporte pblico nos masturbemos sin parar, simplemente que puede tener relacin.",0
